date;feeToken0;feeToken1;feeV;fgV;feeUSD;activeLiquidity;amountV;amountTR;amountVlast;S1%;unb%;multiplier;feeunb
2023-08-03;0.00014588910613263953;0.0021012575770689838;0.0002783409529820712;5.2898107408232343e-20;11.969916331139576;23.80952380952381;41.87049795469014;37.91777900686264;41.87049795469014;0.0006647662831315641;1.395073994145555e-19;4765096947697856.0;5.841244281851287e-20
2023-08-04;1.9127746977559355e-05;3.850743824473571e-06;1.9370483504251958e-05;1.887393870694299e-20;0.8330181540139739;9.523809523809524;41.874739062836056;37.919185715447234;41.874739062836056;4.625815930502911e-05;4.9774113950063716e-20;929361783344611.4;2.084278033742786e-20
2023-08-05;1.732240332185924e-06;0.0007938697650888098;5.176718437868301e-05;3.920509086690491e-20;2.226222404833919;10.526315789473685;41.875802443354935;37.919537914551945;41.875802443354935;0.00012362075795134452;1.0339021260029548e-19;1195671764688790.5;4.32954811742644e-20
2023-08-06;0.0;0.0;0.0;2.2624122412239006e-21;0.0;0.0;41.88401778790896;37.922252015029976;41.88401778790896;0.0;5.965922699757451e-21;0.0;2.4987681247793094e-21
2023-08-07;1.8422058469512304e-06;0.023402152815914873;0.0014713408679459077;2.5549291251635276e-19;63.274293255125954;15.0;41.88494213631576;37.92255662738534;41.88494213631576;0.0035128158065907936;6.737228057347048e-19;5214037251952627.0;2.8218840734114414e-19
2023-08-08;0.0005835914677564067;0.030656048490449055;0.0025002250398502564;6.147669670524017e-19;107.52095304479109;43.47826086956522;41.77335564677035;37.88469352278689;41.77335564677035;0.005985214740687364;1.622731794524434e-18;3688357349552901.0;6.778695237199104e-19
2023-08-09;0.0011267092991967152;7.194338282324926e-08;0.0011267137894036229;2.0286434010084806e-19;48.453774566085144;27.272727272727273;41.683840456896775;37.852801295470854;41.683840456896775;0.002702998996862351;5.359295300692081e-19;5043571673524494.0;2.233960102754453e-19
2023-08-10;5.722274842495968e-05;2.9464522456734017e-06;5.740743003834882e-05;1.8407945503648204e-20;2.4687784064210145;8.695652173913043;41.77429984378717;37.88502289690532;41.77429984378717;0.00013742284192199734;4.858897816622906e-20;2828271906683371.0;2.0297705430192807e-20
2023-08-11;5.595988784556822e-05;0.0;5.595988784556822e-05;1.8201788803572924e-20;2.4065275635330323;12.5;41.78242781003682;37.88785206243102;41.78242781003682;0.00013393163293427804;4.804122644266108e-20;2787847914210313.5;2.0072790757461186e-20
2023-08-12;0.00017109673998559394;8.326671959475488e-07;0.00017114896364727998;3.4233002721185117e-20;7.360177340310929;9.523809523809524;41.79019442877569;37.89054503473639;41.79019442877569;0.0004095433533791627;9.034708445022841e-20;4533000216567888.0;3.775622225248062e-20
2023-08-13;0.00043007733944453846;0.0024917009162104516;0.0005867339199522275;1.1322748970612962e-19;25.23220480215174;18.181818181818183;41.80497579955684;37.89564195884109;41.80497579955684;0.0014035025944410362;2.9878762795233117e-19;4697324999899099.0;1.2490809555754197e-19
2023-08-14;5.034833967179151e-07;0.011372536521517132;0.0007138712519721204;1.2605591698948657e-19;30.699683484458532;16.666666666666668;41.830898070699504;37.90448982986048;41.830898070699504;0.0017065644891620252;3.325619670791136e-19;5131568423625689.0;1.3911365747077725e-19
2023-08-15;0.00010025523473763547;0.0037655272161374927;0.00033613687237115205;7.326404133452657e-20;14.455401531778188;5.555555555555555;41.776799144754335;37.885894031734665;41.776799144754335;0.0008046017867631651;1.9338079041544544e-19;4160712059530919.5;8.078830439639898e-20
2023-08-16;0.0004762786432880044;0.008696997622285188;0.001020579671730715;2.221500201909334e-19;43.88952882785251;22.727272727272727;41.77278906473533;37.884495804261284;41.77278906473533;0.002443168614260163;5.863876909929622e-19;4166473225457738.5;2.449504932600621e-19
2023-08-17;0.009055276756655871;0.10885894024140663;0.01579228445454452;2.7478060418354172e-18;679.1394567461665;45.45454545454545;41.82057794406842;37.900981265560816;41.82057794406842;0.03776199476646497;7.249960159559891e-18;5208579624630284.0;3.0319752394426513e-18
2023-08-18;0.001934094836935531;0.01756203730296772;0.003051878983661704;5.36987530346997e-19;131.24456065775894;60.869565217391305;41.94950760871323;37.94344428330069;41.94950760871323;0.007275124685915992;1.4152313805189551e-18;5140590285136454.0;5.936825956516965e-19
2023-08-19;0.0017144666371799175;0.00552254303119178;0.002067950405943004;3.728170235577978e-19;88.9311941734938;60.869565217391305;42.01399030666236;37.96351380251989;42.01399030666236;0.004922051894735357;9.82040349313112e-19;5012066864847342.0;4.12594337167924e-19
2023-08-20;0.00087201202835478;0.006032307921144159;0.001257605787877202;2.2042748484210473e-19;54.08272083992115;37.5;42.11362159659537;37.992875161600715;42.11362159659537;0.002986220942771808;5.801811100226764e-19;5147049587076510.0;2.443352772498766e-19
2023-08-21;7.64754703456684e-09;0.010557630848280977;0.0006757042777052535;1.4714326997274495e-19;29.058331453100855;14.285714285714286;42.149389698899014;38.00290181988606;42.149389698899014;0.0016031175837473719;3.8718956428676763e-19;4140394606710114.5;1.631980383246988e-19
2023-08-22;0.00012917640626194569;0.06845962737373437;0.004447239944085238;7.73570549817417e-19;191.25137521042782;31.818181818181817;42.08932834023269;37.98590715098096;42.08932834023269;0.010566193663475913;2.0364672264972884e-18;5188491877499892.0;8.571353775016739e-19
2023-08-23;0.001984159312106488;0.004046514637866231;0.00224040983695347;5.1505474184884885e-19;96.34772752079532;47.82608695652174;41.78211714235532;37.887744130411505;41.78211714235532;0.005362126168284385;1.3594230896302636e-18;3944413044906261.0;5.679957477695427e-19
2023-08-24;0.0001855631944189856;0.003783406383841192;0.0004247632185235959;9.81360392189005e-20;18.266734132366427;31.57894736842105;41.937412508905865;37.93959059567536;41.937412508905865;0.0010128503241190498;2.586639383243286e-19;3915699771218500.5;1.0847696282685553e-19
