Date,Liquidity,Token0 Price,Token1 Price,Tick,TVL USD,Volume Token 0,Volume Token 1,Volume USD,Fees USD,TX Count,Open,High,Low,Close,Target0,Target1
"1/2/2022, 8:00:00 AM",929311576436120200,0.08089133,12.362263861568705,255417,308576145.1209457,366.174845,4566.298912710741,17329074.27969629,51987.22283908886,115,0.07919957,0.08089133,0.0791451,0.07919957,0.08104575,12.33870961262686
"1/3/2022, 8:00:00 AM",1064947805303197300,0.08104575,12.33870961262686,255398,302766504.4135676,197.95900649,2443.9806496879587,9222045.130894642,27666.135392683933,87,0.08089133,0.08116585,0.08072773,0.08089133,0.08278556,12.079399945029127
"1/4/2022, 8:00:00 AM",883582054320786600,0.08278556,12.079399945029127,255186,298464590.3581346,405.36238159,4937.637176965226,18892694.67802032,56678.08403406095,133,0.08104575,0.08284734,0.08097033,0.08104575,0.0813601,12.291036620049404
"1/5/2022, 8:00:00 AM",1154118143225770200,0.0813601,12.291036620049404,255359,295026739.2500444,911.53973585,11185.821895191099,40471014.178802565,121413.04253640768,134,0.08276785,0.08276785,0.08063159,0.08276785,0.07931073,12.608633272579098
"1/6/2022, 8:00:00 AM",1265736979700335900,0.07931073,12.608633272579098,255615,330960156.3218732,1569.38787712,19796.852165615528,67475459.15711685,202426.3774713505,213,0.08133715,0.08133889,0.07792934,0.08133715,0.07667311,13.042382013499752
"1/7/2022, 8:00:00 AM",1202400286527552500,0.07667311,13.042382013499752,255953,319940223.82840925,2014.57283193,26217.07478902531,84086242.9101092,252258.7287303276,299,0.07928032,0.07928032,0.07585657,0.07928032,0.07415411,13.485428090574311
"1/8/2022, 8:00:00 AM",1057233858881748500,0.07415411,13.485428090574311,256287,314469943.66005766,1000.64189909,13343.805945036484,41346579.8275637,124039.73948269112,198,0.07668789,0.07680025,0.07368875,0.07668789,0.07522349,13.293718527648752
"1/9/2022, 8:00:00 AM",1029749275674001200,0.07522349,13.293718527648752,256144,317321097.48148,301.20890381,4027.379309347016,12612486.814854683,37837.46044456406,95,0.07413669,0.07522349,0.07409127,0.07413669,0.07367606,13.572928689823655
"1/10/2022, 8:00:00 AM",918857061179594500,0.07367606,13.572928689823655,256352,304794524.33837277,758.54730274,10261.016228355538,31316435.858441245,93949.3075753237,116,0.07522349,0.0752617,0.07321369,0.07522349,0.07552197,13.241179800178305
"1/11/2022, 8:00:00 AM",1179820142999191600,0.07552197,13.241179800178305,256104,323541751.07537,634.22960729,8459.385177139558,26834846.90839794,80504.54072519383,107,0.07368195,0.07580084,0.07351531,0.07368195,0.0768583,13.010956478153055
"1/12/2022, 8:00:00 AM",1172199102178612700,0.0768583,13.010956478153055,255929,332633004.11785537,398.08918605,5205.987239762523,17246004.088040575,51738.01226412173,120,0.07553848,0.07703005,0.07553848,0.07553848,0.07637933,13.092547219520975
"1/13/2022, 8:00:00 AM",1239877291178126300,0.07637933,13.092547219520975,255991,331581481.8393298,264.30589904,3456.1174268574846,11431720.194105793,34295.160582317374,70,0.0768583,0.0768583,0.07637933,0.0768583,0.07659902,13.054997306218088
"1/14/2022, 8:00:00 AM",1237741814180011300,0.07659902,13.054997306218088,255963,337220558.6776176,402.14282794,5260.309787945624,17147948.257883843,51443.84477365154,79,0.07623993,0.07675304,0.07611861,0.07623993,0.07715698,12.960590160373924
"1/15/2022, 8:00:00 AM",1217388902525009200,0.07715698,12.960590160373924,255890,339734647.2401331,273.08868131,3541.074001119828,11796285.390511587,35388.85617153476,71,0.07661462,0.07735724,0.07661462,0.07661462,0.07750911,12.901707873289734
"1/16/2022, 8:00:00 AM",1326675570787034600,0.07750911,12.901707873289734,255844,346066468.6338515,255.45751389,3297.4795602480867,11022078.83023909,33066.236490717274,85,0.07715849,0.07773691,0.07703987,0.07715849,0.07592953,13.170105376233955
